movie_id,title,release_date,release_year,overview,tagline,keywords,rating,vote_count,popularity,budget,runtime,genres,production_companies,ethical_values,emotional_theme,ethical_values_clean,emotional_theme_clean
1415244,Phineas and Ferb Save Summer,09-06-2014,2014.0,"When L.O.V.E.M.U.F.F.I.N. moves the Earth further from the sun, Phineas and Ferb must find a way to save summer and prevent a new ice age.",This must be a special episode. He's yelling at his sister again,,0.0,0,0.4729,0,45.0,"Action, Adventure, Animation, Comedy, Family, Science Fiction, TV Movie",,"courage, perseverance, friendship","high-energy, heroic quest","['courage', 'perseverance', 'friendship']","['highenergy', 'heroic quest']"
339549,Yamasong: March of the Hollows,10-09-2017,2017.0,An automated girl and tortoise warrior journey with a band of outlaws on an incredible quest. Their one hope is to find a legendary relic to defeat a sinister mechanized army and save the creatures of their world.,,,3.538,13,0.4724,0,95.0,"Animation, Fantasy, Adventure",Dark Dunes Productions,"courage, friendship, perseverance","- heroic quest
- high-energy","['courage', 'friendship', 'perseverance']","['heroic quest', 'highenergy']"
219230,Inhumans,23-04-2013,2013.0,"The Inhumans have always been one of Marvel’s most enduring oddities. A race of genetic freaks, they live secluded in their island kingdom of Attilan, preferring not to mix with the outside world. Even stranger, their genetic mutations are self-endowed; each Inhuman, as a coming-of-age ritual, endures exposure to the Terrigan Mists, a strange substance that imparts unearthly powers, some extraordinary, some monstrous. But now the kingdom of Attilan is under attack from without and within. Can the Royal Family, led by Black Bolt (who cannot speak for his voice carries the destructive power of an atom bomb) repel the foreign invaders who blast at their outer defense, as well as the internal threat of Black Bolt's brother, Maximus the Mad?",,based on comic,6.2,10,0.4721,0,143.0,Animation,Marvel Knights,"courage, loyalty, family","- high-energy: fast-paced, action-driven, fun
- heroic quest: epic journey, overcoming major obstacles","['courage', 'loyalty', 'family']","['highenergy: fastpaced', 'actiondriven', 'fun', 'heroic quest: epic journey', 'overcoming major obstacles']"
1255069,Little Emma,27-06-2024,2024.0,"Emma, a miniature human girl adopted by animal parents, yearns to find the truth about her human roots. But when she discovers a hidden island full of tiny humans, it's not the fairy tale she hoped for. Will she risk all she's ever known to uncover secrets from her past?",Little Girl. Big Adventure.,,6.8,9,0.4719,0,80.0,"Animation, Adventure, Family","Gold Valley Films, Toonz Entertainment, Fís Éireann/Screen Ireland","courage, empathy, family","- heartwarming
- heroic quest","['courage', 'empathy', 'family']","['heartwarming', 'heroic quest']"
1084117,Combat Wombat: Back 2 Back,29-02-2024,2024.0,"When the promise of living in a perfect digital world traps the citizens of Sanctuary City online, Combat Wombat and Sweetie must return to save the day and kick some wom-butt!",She'll save the world... after a quick nap.,"superhero, animals, wombat",6.2,6,0.4697,0,81.0,"Action, Comedy, Animation, Family","Like A Photon Creative, Universal Pictures (Australasia), Cosmic Dino Studio, Alceon Entertainment Partners, Eclectik Vision","courage, loyalty","high-energy, pure fun","['courage', 'loyalty']","['highenergy', 'pure fun']"
305355,A Miser Brothers' Christmas,13-12-2008,2008.0,Santa Claus and the mischievous brothers Heat Miser and Snow Miser are the targets of yuletide treachery when the North Wind tries to take Santa's place.,,"sibling relationship, santa claus, stop motion, miser, year, christmas, without",5.8,31,0.4696,0,48.0,"TV Movie, Animation, Family","Warner Bros. Animation, Warner Premiere, Cuppa Coffee Studios","family, loyalty, kindness","- heartwarming
- family bonding","['family', 'loyalty', 'kindness']","['heartwarming', 'family bonding']"
445162,Peppa Pig: My First Cinema Experience,07-04-2017,2017.0,"Join Peppa in this exciting new preschool cinema experience, with plenty of snorts, giggles and jumping up and down in muddy puddles! Leading with ""Peppa Visits London,"" the first of the never-before-seen episodes, Peppa and her friends hop on board a double-decker red bus as the Queen takes them on an unforgettable tour of iconic London landmarks including Big Ben, Tower Bridge and Trafalgar Square. The other new ‘oink-tastic episodes include ""The Police,"" ""Canal Boat,""""‘The Zoo,"" ""Move to the Music"" and a four-part story in which viewers will join Peppa on an Australian holiday to visit her old friend, Kylie Kangaroo.",,,8.8,10,0.4667,0,72.0,"Animation, Family",Entertainment One,"family, friendship","pure fun, family bonding","['family', 'friendship']","['pure fun', 'family bonding']"
451092,The Cat In The Hat Knows A Lot About Halloween!,28-10-2016,2016.0,"The Cat in the Hat takes Nick and Sally on the craziest Halloween adventure, where they go to the Oooky-ma-kooky Closet to help find Nick and Sally the best Halloween costumes ever.",,"holiday, halloween, anthropomorphism, family holiday",5.8,5,0.4664,0,58.0,"Animation, Family, Fantasy, Music, TV Movie","Collingwood & Co., Portfolio Entertainment, Random House, KQED, CBC, Corus Entertainment","family, friendship","- pure fun
- family bonding","['family', 'friendship']","['pure fun', 'family bonding']"
754310,The Magic School Bus Rides Again: The Frizz Connection,20-10-2020,2020.0,"Lightning splits the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus!",,,6.2,8,0.4659,0,44.0,"Family, Animation",,"resilience, friendship, family","high-energy, pure fun","['resilience', 'friendship', 'family']","['highenergy', 'pure fun']"
22927,G.I. Joe: Resolute,25-04-2009,2009.0,"G.I. JOE is a highly trained, classified special operations unit composed of men and women from around the globe. G.I. JOE: RESOLUTE, the raging battle between G.I. JOE and COBRA has never been more intense. Every life is at stake… and even the good guys can die. This is no game. Your favorite G.I. JOE characters are back… but this time, no one is safe.",,"special forces, gi joe",5.833,18,0.4659,0,60.0,"Action, Animation, Thriller","Titmouse, Hasbro","courage, loyalty, justice","high-energy, heroic quest","['courage', 'loyalty', 'justice']","['highenergy', 'heroic quest']"
67519,Choose Your Own Adventure - The Abominable Snowman,25-07-2006,2006.0,This interactive movie follows three siblings (the North family) on a quest to rescue their Uncle in the Himalayan region of Nepal. Your choices determine what happen.,,"bigfoot, interactive",5.0,1,0.4649,2000000,85.0,"Family, Animation","Lean Forward Media LLC, Goldhil Entertainment","courage, family, perseverance","- family bonding
- heroic quest","['courage', 'family', 'perseverance']","['family bonding', 'heroic quest']"
356587,"Jimmy Neutron: Win, Lose and Kaboom!",09-07-2004,2004.0,"Retroville becomes ground zero for a meteor engraved with a mysterious alien message, which only the best and brightest(naturally, Jimmy) can translate. When he finally figures the message out, he and his friends are teleported into deep space and are forced to become contestants on an intergalactic reality game show, where the losers have their home planets destroyed.",,,7.125,12,0.4643,0,73.0,"Animation, Comedy, Science Fiction","Nickelodeon Animation Studio, DNA Productions, O Entertainment","courage, friendship, justice","high-energy, pure fun","['courage', 'friendship', 'justice']","['highenergy', 'pure fun']"
29614,Gnomes and Trolls: The Secret Chamber,31-01-2008,2008.0,"Junior, a teenage gnome, wants nothing more than to invent gizmos and gadgets in his tree-house laboratory. But Junior's old school father, Jalle, the head gnome of the forest, would prefer his son follow in his footsteps and one day be in charge of his own forest. In spite of their differences, on the eve of the first winter storm Junior helps Jalle distribute food rations. Then disaster strikes.",,troll,4.6,5,0.4632,5000000,70.0,"Animation, Family, Fantasy, Adventure",White Shark Studios,"courage, family, responsibility","- heartwarming
- family bonding","['courage', 'family', 'responsibility']","['heartwarming', 'family bonding']"
949000,Eternal Spring,07-04-2023,2023.0,"In March 2002, a state TV signal in China gets hacked by members of the banned spiritual group Falun Gong. Their goal is to counter the government narrative about their practice.  In the aftermath, police raids sweep Changchun City, and comic book illustrator Daxiong (Justice League, Star Wars), a Falun Gong practitioner, is forced to flee. He arrives in North America, blaming the hijacking for worsening an already violent repression. But his views are challenged when he meets the lone surviving participant to have escaped China, now living in Seoul, South Korea.",The heist of China's airwaves,adult animation,7.917,6,0.4628,0,86.0,"Documentary, Animation, History","Lofty Sky Pictures, Téléfilm Canada","justice, resilience, freedom","bittersweet, heroic quest","['justice', 'resilience', 'freedom']","['bittersweet', 'heroic quest']"
59777,Popeye's Voyage: The Quest for Pappy,24-09-2004,2004.0,"Popeye, Olive and Bluto head out to find Popeye's long lost Pappy.",,,6.7,37,0.4626,0,48.0,"Family, Animation","Mainframe Entertainment, King Features Syndicate, Nuance Productions","family, perseverance, loyalty","- heartwarming
- heroic quest","['family', 'perseverance', 'loyalty']","['heartwarming', 'heroic quest']"
